GDENR,GDENAME,GDEKT,week_until,pop_gde_bfs,n_vac1,n_vac2,proc_vac1,proc_vac2
5401,Aigle,VD,2021-09-01,10462,5585.960997977421,0,0.5301991837669124,0
5402,Bex,VD,2021-09-01,7845,3620.4881733460847,0,0.4537339460646127,0
5403,Chessel,VD,2021-09-01,444,259,0,0.5807174887892377,0
5404,Corbeyrier,VD,2021-09-01,445,228.8904109589041,0,0.515625,0
5405,Gryon,VD,2021-09-01,1376,770.6202392728436,0,0.5630281429614878,0
5406,Lavey-Morcles,VD,2021-09-01,944,263,0,0.2759706190975866,0
5407,Leysin,VD,2021-09-01,3623,1934,0,0.5121822033898306,0
5408,Noville,VD,2021-09-01,1178,655,0,0.5536770921386306,0
5409,Ollon,VD,2021-09-01,7624,4386.3171100037935,0,0.5636732836693966,0
5410,Ormont-Dessous,VD,2021-09-01,1182,559.7069359623205,0,0.4630162457426052,0
5411,Ormont-Dessus,VD,2021-09-01,1467,919.1730769230769,0,0.5967132933095114,0
5412,Rennaz,VD,2021-09-01,892,475,0,0.5277777777777778,0
5413,Roche (VD),VD,2021-09-01,1867,872,0,0.4623541887592789,0
5414,Villeneuve (VD),VD,2021-09-01,5834,3170,0,0.5410479604027991,0
5415,Yvorne,VD,2021-09-01,1070,672,0,0.6268656716417911,0
5422,Aubonne,VD,2021-09-01,3235,2519.3386491644555,0,0.6646983866048936,0
5423,Ballens,VD,2021-09-01,562,323,0,0.5676625659050967,0
5424,Berolle,VD,2021-09-01,313,161.26363636363638,0,0.5142857142857143,0
5425,Bière,VD,2021-09-01,1621,944.8649763531266,0,0.5815920050419703,0
5426,Bougy-Villars,VD,2021-09-01,478,317.41055718475076,0,0.6728395061728396,0
5427,Féchy,VD,2021-09-01,871,600.8589211618257,0,0.6807207393548508,0
5428,Gimel,VD,2021-09-01,2311,1133.956458635704,0,0.5795053003533569,0
5429,Longirod,VD,2021-09-01,495,367.9992673992674,0,0.6070819112627986,0
5430,Marchissy,VD,2021-09-01,483,253.32527472527474,0,0.6070819112627986,0
5431,Mollens (VD),VD,2021-09-01,330,184,0,0.5558912386706949,0
5434,Saint-George,VD,2021-09-01,1073,834.0435413642961,0,0.5795053003533569,0
5435,Saint-Livres,VD,2021-09-01,684,397.87138728323697,0,0.5751135805821592,0
5436,Saint-Oyens,VD,2021-09-01,460,253,0,0.5464362850971922,0
5437,Saubraz,VD,2021-09-01,423,236,0,0.5566037735849056,0
5451,Avenches,VD,2021-09-01,4477,2319.345505617978,0,0.526373868903112,0
5456,Cudrefin,VD,2021-09-01,1780,829,0,0.46520763187429853,0
5458,Faoug,VD,2021-09-01,879,372.82020802377417,0,0.46553672316384187,0
5464,Vully-les-Lacs,VD,2021-09-01,3348,1663.491961414791,0,0.517722384173294,0
5471,Bettens,VD,2021-09-01,637,397.6015030370315,0,0.6186936047652183,0
5472,Bournens,VD,2021-09-01,491,266,0,0.539553752535497,0
5473,Boussens,VD,2021-09-01,999,611,0,0.6097804391217565,0
5474,La Chaux (Cossonay),VD,2021-09-01,392,250.06235818908613,0,0.6262571291456357,0
5475,Chavannes-le-Veyron,VD,2021-09-01,152,93.32859680284191,0,0.5897988505747126,0
5476,Chevilly,VD,2021-09-01,317,190.88198757763976,0,0.6118012422360248,0
5477,Cossonay,VD,2021-09-01,4223,2205.123287671233,0,0.6010080645161291,0
5479,Cuarnens,VD,2021-09-01,528,251.7927767910006,0,0.5897988505747126,0
5480,Daillens,VD,2021-09-01,1051,607.0619469026549,0,0.5835694050991501,0
5481,Dizy,VD,2021-09-01,223,288.1179604261796,0,0.601008064516129,0
5482,Eclépens,VD,2021-09-01,1218,679,0,0.5524816924328723,0
5483,Ferreyres,VD,2021-09-01,319,189,0,0.5924764890282131,0
5484,Gollion,VD,2021-09-01,997,567,0,0.5675675675675675,0
5485,Grancy,VD,2021-09-01,407,252,0,0.6191646191646192,0
5486,L'Isle,VD,2021-09-01,1064,566.7767910005921,0,0.5897988505747127,0
5487,Lussery-Villars,VD,2021-09-01,458,285,0,0.6209150326797386,0
5488,Mauraz,VD,2021-09-01,59,49.58081705150977,0,0.5897988505747127,0
