GDENR,GDENAME,GDEKT,week_until,n_vac1,n_vac2,proc_vac1,proc_vac2
1,Aeugst am Albis,ZH,2021-09-26,1276,1168,0.64574898785425106,0.5910931174089069
2,Affoltern am Albis,ZH,2021-09-26,7593.611721611722,6450.847374847375,0.6185934684500987,0.5255011973672641
3,Bonstetten,ZH,2021-09-26,3706,3327,0.6671467146714671,0.5989198919891989
4,Hausen am Albis,ZH,2021-09-26,2114,1901,0.5695043103448276,0.5121228448275862
5,Hedingen,ZH,2021-09-26,2484,2216,0.6590607588219687,0.5879543645529318
6,Kappel am Albis,ZH,2021-09-26,574,518,0.4701064701064701,0.42424242424242425
7,Knonau,ZH,2021-09-26,1230,1093,0.5174589819099705,0.45982330668910393
8,Maschwanden,ZH,2021-09-26,319,274,0.4945736434108527,0.4248062015503876
9,Mettmenstetten,ZH,2021-09-26,3040,2692,0.5858546926190017,0.5187897475428792
10,Obfelden,ZH,2021-09-26,3262.388278388278,2897.152625152625,0.5721088642212058,0.5080592977946828
11,Ottenbach,ZH,2021-09-26,1661,1488,0.6437984496124031,0.5767441860465117
12,Rifferswil,ZH,2021-09-26,587,499,0.5227070347284061,0.44434550311665183
13,Stallikon,ZH,2021-09-26,2471.205325858444,2191.5767344078486,0.6637473460721869,0.5886411889596603
14,Wettswil am Albis,ZH,2021-09-26,3479,3149,0.6690384615384616,0.6055769230769231
21,Adlikon,ZH,2021-09-26,417,351,0.5965665236051502,0.5021459227467812
22,Benken (ZH),ZH,2021-09-26,472,430,0.5552941176470588,0.5058823529411764
23,Berg am Irchel,ZH,2021-09-26,371,327,0.6429809358752167,0.5667244367417678
24,Buch am Irchel,ZH,2021-09-26,642,580,0.6571136131013307,0.593654042988741
25,Dachsen,ZH,2021-09-26,1001.965075669383,928.1769499417928,0.5344381149663386,0.495080269290523
26,Dorf,ZH,2021-09-26,420,371,0.639269406392694,0.5646879756468798
27,Feuerthalen,ZH,2021-09-26,1607,1490,0.44416804864566056,0.41182974018794916
28,Flaach,ZH,2021-09-26,929,803,0.6528460997891778,0.5643007730147576
29,Flurlingen,ZH,2021-09-26,598,550,0.40680272108843535,0.3741496598639456
30,Andelfingen,ZH,2021-09-26,1418,1240,0.6367310282891783,0.5568028738212842
31,Henggart,ZH,2021-09-26,1448,1277,0.6490363065889736,0.5723890632003585
32,Humlikon,ZH,2021-09-26,319,281,0.6577319587628866,0.5793814432989691
33,Kleinandelfingen,ZH,2021-09-26,1333,1116,0.6424096385542168,0.5378313253012048
34,Laufen-Uhwiesen,ZH,2021-09-26,841.034924330617,769.8230500582072,0.515593063088781,0.47193691121895515
35,Marthalen,ZH,2021-09-26,1158.3253012048192,1026.421686746988,0.6045653199182518,0.5357207986165697
37,Ossingen,ZH,2021-09-26,1048.6567505720823,891.4919908466819,0.6301703096100824,0.535725139403607
38,Rheinau,ZH,2021-09-26,869.6746987951807,794.5783132530121,0.6638554992504575,0.6065315957437025
39,Thalheim an der Thur,ZH,2021-09-26,536,445,0.5726495726495726,0.4754273504273504
40,Trüllikon,ZH,2021-09-26,591.3432494279176,521.5080091533181,0.5579155538955445,0.4920279889374178
41,Truttikon,ZH,2021-09-26,264,221,0.5764192139737991,0.48253275109170307
43,Volken,ZH,2021-09-26,215,186,0.5718085106382979,0.4946808510638298
51,Bachenbülach,ZH,2021-09-26,2609.2749581706635,2314.051868377022,0.6245484521219079,0.5538847134523223
52,Bassersdorf,ZH,2021-09-26,7538,6583,0.6374090985963132,0.5566548283443261
53,Bülach,ZH,2021-09-26,13651.521849582028,11665.09437955569,0.6401904560266803,0.5470365994887719
54,Dietlikon,ZH,2021-09-26,5192.310344827586,4489.990274093722,0.6574991532848349,0.5685647828070637
55,Eglisau,ZH,2021-09-26,3512.9880409740117,3061.2576800420247,0.6556465240707692,0.5713378280240348
56,Embrach,ZH,2021-09-26,5954,5090,0.6336739037888464,0.5417198808003406
57,Freienstein-Teufen,ZH,2021-09-26,1485.2065936622562,1288.0455543872213,0.6254060543561358,0.5423834579227974
58,Glattfelden,ZH,2021-09-26,3126.1643115689076,2753.2617139811327,0.6013460998578426,0.529614898187983
59,Hochfelden,ZH,2021-09-26,1282.57908565423,1111.7950604308985,0.644529974002242,0.5587064762012904
60,Höri,ZH,2021-09-26,1649,1330,0.5735652173913044,0.46260869565217394
61,Hüntwangen,ZH,2021-09-26,702,630,0.6679352997145576,0.5994291151284491
62,Kloten,ZH,2021-09-26,12472.896829661473,10559.278882321332,0.618076572701452,0.5232499707897545
63,Lufingen,ZH,2021-09-26,1673,1438,0.6930405965202983,0.5956917978458989
64,Nürensdorf,ZH,2021-09-26,3682.1031703385274,3278.7211176786673,0.6604883265015149,0.5881304580288719
65,Oberembrach,ZH,2021-09-26,734,654,0.6727772685609532,0.5994500458295142
66,Opfikon,ZH,2021-09-26,11792.101586202143,9857.545071160273,0.5704985668446388,0.4769052653246848
67,Rafz,ZH,2021-09-26,2828.536396181384,2542.392601431981,0.6089289547113114,0.5473277527366387
68,Rorbas,ZH,2021-09-26,1767.793406337744,1526.9544456127787,0.6163397998047552,0.5323714829718941
69,Wallisellen,ZH,2021-09-26,11279,9801,0.670172311348782,0.5823529411764706
70,Wasterkingen,ZH,2021-09-26,384.99775028121485,334.90101237345334,0.6854746969806212,0.596279250482668
71,Wil (ZH),ZH,2021-09-26,889.3876912462315,803.1419470537543,0.6042412068536965,0.5456467006897588
72,Winkel,ZH,2021-09-26,3217.5499163413274,2923.1037367540434,0.701952180686647,0.6377147505829457
81,Bachs,ZH,2021-09-26,403.1336405529954,353.3640552995392,0.6738768718801996,0.5906821963394343
82,Boppelsen,ZH,2021-09-26,923.4171779141104,808.1595092024539,0.6371359634270234,0.5576109041652556
83,Buchs (ZH),ZH,2021-09-26,3895.5554780181437,3314.367759944173,0.5925869664286799,0.5041774267051496
84,Dällikon,ZH,2021-09-26,2514,2110,0.6022999520843316,0.505510301868711
85,Dänikon,ZH,2021-09-26,1091,908,0.5849865951742628,0.4868632707774799
86,Dielsdorf,ZH,2021-09-26,3795,3204,0.6386738471894985,0.5392123864018848
87,Hüttikon,ZH,2021-09-26,584,505,0.6128016789087093,0.5299055613850997
88,Neerach,ZH,2021-09-26,2205.1914468662994,1968.677670286088,0.6892274231605915,0.6153055960983617
89,Niederglatt,ZH,2021-09-26,2993.149948293692,2556.6065149948295,0.594145268121463,0.5074906668804272
90,Niederhasli,ZH,2021-09-26,5592.872802481903,4793.026887280248,0.604259901426779,0.5178437015693663
91,Niederweningen,ZH,2021-09-26,1912,1697,0.6215864759427828,0.5516905071521456
92,Oberglatt,ZH,2021-09-26,4027,3338,0.5589174184594032,0.4632893823733518
93,Oberweningen,ZH,2021-09-26,1015.7024291497976,895.0708502024291,0.6720388846252239,0.5922230749552315
94,Otelfingen,ZH,2021-09-26,1789.4445219818563,1571.632240055827,0.6032809424292921,0.529849217053711
95,Regensberg,ZH,2021-09-26,297.5828220858896,257.840490797546,0.657387580299786,0.569593147751606
96,Regensdorf,ZH,2021-09-26,11254,9589,0.6103036876355749,0.5200108459869848
97,Rümlang,ZH,2021-09-26,5160.023436024673,4358.310915607016,0.5889945602259576,0.49748251202587573
98,Schleinikon,ZH,2021-09-26,703.7240215924426,620.1450742240215,0.6720388846252239,0.5922230749552315
99,Schöfflisdorf,ZH,2021-09-26,907.5735492577597,799.7840755735492,0.6720388846252239,0.5922230749552315
100,Stadel,ZH,2021-09-26,1520.8114374034003,1300.8979907264297,0.6703603655774059,0.5734244438161485
101,Steinmaur,ZH,2021-09-26,2274.8407244017103,1921.4268814128657,0.6311763570696424,0.5331182998338556
102,Weiach,ZH,2021-09-26,1095,952,0.5667701863354038,0.4927536231884058
111,Bäretswil,ZH,2021-09-26,2814.4401145063393,2396.6873399615883,0.535796117742647,0.45626686656987603
112,Bubikon,ZH,2021-09-26,4429.64683532254,3863.7226992817846,0.6077798918822637,0.5301309679378858
113,Dürnten,ZH,2021-09-26,4444.694750252794,3816.785750781096,0.5833537969323308,0.5009424909705519
114,Fischenthal,ZH,2021-09-26,1036.6914144631828,856.4282590914928,0.4493296405103371,0.3711987930176312
115,Gossau (ZH),ZH,2021-09-26,6080.606171114317,5178.612854026418,0.5960035759099517,0.5075927781534594
116,Grüningen,ZH,2021-09-26,2448.444592790387,2131.293724966622,0.6779895056614195,0.5901684617508975
117,Hinwil,ZH,2021-09-26,6551.560740003863,5553.77803727472,0.5843772691810507,0.49537839483701146
118,Rüti (ZH),ZH,2021-09-26,6965.799314609042,5853.795141717158,0.5711388949021414,0.479963596024372
119,Seegräben,ZH,2021-09-26,828.6137931034483,721.8482758620689,0.6015089163237312,0.52400548696845
120,Wald (ZH),ZH,2021-09-26,5391.45309125922,4502.019417734868,0.5415519125859268,0.4522115253355315
121,Wetzikon (ZH),ZH,2021-09-26,14747.823425938852,12369.386132439853,0.5916221660448991,0.49620902047475773
131,Adliswil,ZH,2021-09-26,12083.11989203992,10645.240557955234,0.6383444605577069,0.5623821001686462
135,Kilchberg (ZH),ZH,2021-09-26,6343.876381215469,5717.654696132597,0.709985556720152,0.6399009073675412
136,Langnau am Albis,ZH,2021-09-26,4928,4364.409972299169,0.6495309086235702,0.5752473975067471
137,Oberrieden,ZH,2021-09-26,3614,3263,0.7336581404790905,0.6624035728786033
138,Richterswil,ZH,2021-09-26,8073.781548250265,6977.910922587487,0.5945990313603244,0.51389290764107
139,Rüschlikon,ZH,2021-09-26,4162.123618784531,3841.3453038674033,0.6817809788836144,0.6292355541005075
141,Thalwil,ZH,2021-09-26,12269,11016,0.6776581054957194,0.6084507042253521
151,Erlenbach (ZH),ZH,2021-09-26,4054.9814585908525,3721.3943139678613,0.7259073842302879,0.6661898802074021
152,Herrliberg,ZH,2021-09-26,4654.0185414091475,4138.605686032139,0.7234697871557102,0.6433485703064067
153,Hombrechtikon,ZH,2021-09-26,5128.761434624329,4391.662248145756,0.5877266834072361,0.503259338662636
154,Küsnacht (ZH),ZH,2021-09-26,10787.828571428572,9748.385714285714,0.7224658139732902,0.6528538503707771
155,Männedorf,ZH,2021-09-26,8197.943078004217,7421.109627547435,0.7221256245345374,0.6536973206011328
156,Meilen,ZH,2021-09-26,9968,9026,0.6997542997542997,0.6336258336258336
157,Oetwil am See,ZH,2021-09-26,2819.056921995784,2373.890372452565,0.587979274611399,0.49512953367875645
158,Stäfa,ZH,2021-09-26,9966.895878524945,8919.97830802603,0.6790699922246133,0.6077408326624765
159,Uetikon am See,ZH,2021-09-26,4611,4119,0.7453928225024248,0.6658583899127061
160,Zumikon,ZH,2021-09-26,4006,3613,0.731689497716895,0.6599086757990867
161,Zollikon,ZH,2021-09-26,9751.46961325967,8895.636464088398,0.7473116290034899,0.6817241749860256
172,Fehraltorf,ZH,2021-09-26,3979.842336683417,3457.894472361809,0.6135825260497899,0.5331124817706914
173,Hittnau,ZH,2021-09-26,2038,1748,0.5598901098901099,0.48021978021978023
176,Lindau,ZH,2021-09-26,3357.0526315789475,2877.2105263157896,0.6072360059567118,0.5204404041395265
177,Pfäffikon,ZH,2021-09-26,7781.427586206896,6726.783908045977,0.6402905568274442,0.553509772650878
178,Russikon,ZH,2021-09-26,3025.0544871794873,2578.3141025641025,0.6914704068011681,0.589353979876068
180,Weisslingen,ZH,2021-09-26,2152.420981365974,1861.0441702676808,0.6357381262901236,0.5496771979049788
181,Wila,ZH,2021-09-26,1017.8398348813209,885.5856486567463,0.543203719565355,0.4726219213066391
182,Wildberg,ZH,2021-09-26,569.5282551372977,477.13093289689033,0.5714548759178175,0.4787449886738532
191,Dübendorf,ZH,2021-09-26,20210.332402192194,17548.881678912876,0.6624889687402944,0.5752473682593852
192,Egg,ZH,2021-09-26,5824.55839464883,5136.336086956522,0.6626082610605604,0.5843153235321042
193,Fällanden,ZH,2021-09-26,5829,5141,0.6741845940319223,0.5946102243812168
194,Greifensee,ZH,2021-09-26,2939.181526619628,2618.817190506735,0.6696056820964976,0.5966201322556943
195,Maur,ZH,2021-09-26,7122.613033922599,6336.278198757765,0.709798794331614,0.6314371712471198
196,Mönchaltorf,ZH,2021-09-26,2661.1885581088954,2321.1730319997973,0.6834658929847427,0.5961406207965994
197,Schwerzenbach,ZH,2021-09-26,3325.8663397658966,2937.3976974991683,0.6372859524576182,0.5628495249539515
198,Uster,ZH,2021-09-26,24465.68765465852,21292.40178512167,0.6796045243100063,0.5914574235905372
199,Volketswil,ZH,2021-09-26,11389.852917665867,9561.393285371703,0.6112763399300258,0.5131456511653788
200,Wangen-Brüttisellen,ZH,2021-09-26,4993,4305,0.6247497497497497,0.5386636636636637
211,Altikon,ZH,2021-09-26,378,332,0.5423242467718795,0.4763271162123386
213,Brütten,ZH,2021-09-26,1409,1262,0.6836487142163998,0.6123241145075207
214,Dägerlen,ZH,2021-09-26,669,597,0.6470019342359767,0.5773694390715667
215,Dättlikon,ZH,2021-09-26,492,446,0.6332046332046332,0.574002574002574
216,Dinhard,ZH,2021-09-26,1029,907,0.6125,0.5398809523809524
218,Ellikon an der Thur,ZH,2021-09-26,657,561,0.73,0.6233333333333333
219,Elsau,ZH,2021-09-26,2219.9827586206898,1902.8423645320197,0.6240237005117156,0.5348774575814705
220,Hagenbuch,ZH,2021-09-26,447.6666666666667,369.641975308642,0.42343173431734316,0.3496309963099631
221,Hettlingen,ZH,2021-09-26,2114,1892,0.6730340655842089,0.6023559375994906
223,Neftenbach,ZH,2021-09-26,3646,3163,0.6402107111501317,0.5553994732221247
224,Pfungen,ZH,2021-09-26,2660,2229,0.6860974980655146,0.5749290688676812
225,Rickenbach (ZH),ZH,2021-09-26,1709.520766773163,1483.2460063897763,0.6259124087591241,0.543065693430657
226,Schlatt (ZH),ZH,2021-09-26,406.57771592187686,331.7438368011823,0.47628473159861523,0.3886207189493538
227,Seuzach,ZH,2021-09-26,5180,4520,0.6983955777268437,0.6094108129971687
228,Turbenthal,ZH,2021-09-26,2750.528358014689,2340.3760656789536,0.5594555198731717,0.47603083411516484
230,Winterthur,ZH,2021-09-26,72180.17904848859,61930.78470071519,0.6389103192323207,0.5481867452401478
231,Zell (ZH),ZH,2021-09-26,3671.577297845208,3115.6396690972106,0.6071099711479502,0.5151834637182036
241,Aesch (ZH),ZH,2021-09-26,1102,1005,0.6610677864427115,0.6028794241151769
242,Birmensdorf (ZH),ZH,2021-09-26,4485.178072111847,3978.242089771891,0.6658796382983232,0.5906187806169256
243,Dietikon,ZH,2021-09-26,15496.647860452438,13023.407195421096,0.5622941921476388,0.4725529220191786
244,Geroldswil,ZH,2021-09-26,3099.121338912134,2595.510460251046,0.6031589113514623,0.5051448757265773
245,Oberengstringen,ZH,2021-09-26,4379,3663,0.6519279440226291,0.5453327378293881
246,Oetwil an der Limmat,ZH,2021-09-26,1614,1435,0.644311377245509,0.5728542914171657
247,Schlieren,ZH,2021-09-26,11856.508555303995,9967.255524738068,0.6310999976724448,0.5305385568712707
248,Uitikon,ZH,2021-09-26,3417.456559168728,3103.0735252486343,0.7417665038560691,0.673528971087168
249,Unterengstringen,ZH,2021-09-26,2733.5899581589956,2386.171548117155,0.6301686711659791,0.5500790450165952
250,Urdorf,ZH,2021-09-26,6321.397484964462,5375.505740841991,0.6396207584830339,0.5439121756487026
251,Weiningen (ZH),ZH,2021-09-26,2643.2887029288704,2304.317991631799,0.6397149288689201,0.557679007395121
261,Zürich,ZH,2021-09-26,292324.03038828046,258564.34372567487,0.6968171718555012,0.6163437008523872
